"Subject","block","error"
1,1,150.5
1,2,51.2
1,3,24.9
1,4,23.1
1,5,34.4
1,6,24.3
1,7,19.7
1,8,33.4
2,1,27.7
2,2,36.5
2,3,19.9
2,4,16.4
2,5,27.2
2,6,34.4
2,7,14.6
2,8,18.8
3,1,57.7
3,2,62.6
3,3,58.2
3,4,38.1
3,5,26.3
3,6,23.2
3,7,31.2
3,8,28
4,1,39.3
4,2,60.4
4,3,53.6
4,4,80.3
4,5,35.7
4,6,51.4
4,7,38.7
4,8,28
5,1,88.2
5,2,22.7
5,3,17.9
5,4,34.2
5,5,14
5,6,30.7
5,7,42.7
5,8,36.8
6,1,89.9
6,2,77.1
6,3,47.9
6,4,115.9
6,5,94.1
6,6,43
6,7,64.4
6,8,63.4
7,1,25
7,2,49.2
7,3,31.4
7,4,29.1
7,5,44.9
7,6,38.7
7,7,37.4
7,8,37.4
8,1,89.9
8,2,85.7
8,3,42.9
8,4,63.8
8,5,55.9
8,6,36.7
8,7,52.8
8,8,68
9,1,31.2
9,2,58.7
9,3,38.2
9,4,43.7
9,5,29.3
9,6,37.4
9,7,38.9
9,8,36.3
10,1,21.7
10,2,48.3
10,3,28.4
10,4,40.8
10,5,31.8
10,6,34.1
10,7,39.5
10,8,41.1
11,1,37.4
11,2,34.1
11,3,47.7
11,4,23.3
11,5,62.4
11,6,27.8
11,7,31.3
11,8,17.6
12,1,26.1
12,2,35.4
12,3,57.4
12,4,37.9
12,5,35.5
12,6,30.2
12,7,32.9
12,8,53.2
13,1,55.1
13,2,56.7
13,3,48.9
13,4,35.1
13,5,24.4
13,6,43.6
13,7,36.5
13,8,21.3
14,1,37.7
14,2,31.4
14,3,42.9
14,4,49.8
14,5,41.6
14,6,40.9
14,7,24.8
14,8,33.9
15,1,50
15,2,22.5
15,3,20.3
15,4,32.1
15,5,23.1
15,6,20.7
15,7,18.7
15,8,33.9
16,1,37.2
16,2,53.5
16,3,35.3
16,4,46.3
16,5,38.9
16,6,31.3
16,7,32.9
16,8,32
17,1,27.1
17,2,20.2
17,3,31
17,4,35.2
17,5,34.3
17,6,11.8
17,7,18.6
17,8,44.8
18,1,27.4
18,2,22.9
18,3,22.2
18,4,16.5
18,5,13.8
18,6,13.7
18,7,18.9
18,8,18.5
19,1,40.9
19,2,40.2
19,3,43.1
19,4,32.3
19,5,38.9
19,6,46.8
19,7,43.3
19,8,29.3
20,1,43.7
20,2,41.6
20,3,49.9
20,4,21.3
20,5,25.9
20,6,53.8
20,7,33.3
20,8,25.6
21,1,82.5
21,2,49.5
21,3,49.4
21,4,29.1
21,5,33.1
21,6,33.4
21,7,36.9
21,8,42.4
22,1,58.1
22,2,49.8
22,3,35.2
22,4,70.7
22,5,37.9
22,6,49
22,7,44.4
22,8,26.7
23,1,73
23,2,81.5
23,3,81.6
23,4,68.9
23,5,82.4
23,6,81.4
23,7,94.2
23,8,41.7
24,1,51.6
24,2,44.6
24,3,44.7
24,4,39.8
24,5,32.1
24,6,40.3
24,7,31.5
24,8,37.2
25,1,47.5
25,2,40.6
25,3,43
25,4,37.3
25,5,38
25,6,21.8
25,7,29.2
25,8,40
26,1,39.9
26,2,23.8
26,3,23
26,4,22.1
26,5,35.1
26,6,21.1
26,7,18.4
26,8,18.8
27,1,35.2
27,2,19.7
27,3,50.8
27,4,31.8
27,5,19.5
27,6,34.5
27,7,22.3
27,8,20.5
28,1,35.5
28,2,34.1
28,3,35.2
28,4,29.1
28,5,66.2
28,6,52.7
28,7,55.5
28,8,52.6
29,1,37
29,2,37.8
29,3,22.5
29,4,25.4
29,5,25.3
29,6,19.2
29,7,17.9
29,8,14.4
30,1,38.2
30,2,50
30,3,40.7
30,4,46.5
30,5,47.1
30,6,25.5
30,7,18.7
30,8,29.4
31,1,37.4
31,2,43.9
31,3,61.4
31,4,41
31,5,55
31,6,29.4
31,7,53.8
31,8,41.3
32,1,29.1
32,2,26.3
32,3,35.4
32,4,35.4
32,5,18
32,6,29.9
32,7,24.9
32,8,26.6
33,1,163.5
33,2,89
33,3,61.7
33,4,62.5
33,5,34.2
33,6,41
33,7,42.9
33,8,34.7
34,1,28.3
34,2,68.3
34,3,68.6
34,4,54.5
34,5,49.1
34,6,68.8
34,7,33.1
34,8,46.8
35,1,41.9
35,2,55.5
35,3,50.6
35,4,40.4
35,5,73.6
35,6,40.6
35,7,70.7
35,8,51
36,1,45.7
36,2,54
36,3,23.9
36,4,41.3
36,5,41.2
36,6,29.6
36,7,41.1
36,8,30.5
37,1,40.1
37,2,25.6
37,3,18.2
37,4,20.7
37,5,20.4
37,6,24.2
37,7,26.6
37,8,18.6
38,1,44.5
38,2,45.2
38,3,49.1
38,4,39
38,5,39
38,6,40.9
38,7,44.9
38,8,25.5
39,1,130.2
39,2,66.3
39,3,44.2
39,4,65.3
39,5,45.2
39,6,32.7
39,7,29.7
39,8,51.3
40,1,47.6
40,2,42.6
40,3,29.4
40,4,23.9
40,5,20.2
40,6,30
40,7,35.7
40,8,26
